Date,Open,High,Low,Close,symbol,shortName,longName,financialCurrency,sector,currency,industry,country,market
2020-09-14 00:00:00,167.31712398315992,170.42123200192702,166.285693883324,168.81024169921875,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-15 00:00:00,170.29351244880692,170.8829053104743,163.04404919916016,163.5548553466797,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-16 00:00:00,165.61771234581252,168.6235829098202,164.0754762130117,165.60787963867188,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-17 00:00:00,164.37016194191426,167.15010489402175,163.8888239787131,166.0106201171875,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-18 00:00:00,164.9006037241086,166.462490182959,163.72183308618673,164.94972229003906,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-21 00:00:00,162.081384860851,163.27980599650851,157.18947816921067,162.04209899902344,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-22 00:00:00,161.7375737571834,163.65309306998952,158.7022349832068,158.87905883789062,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-23 00:00:00,159.52736589526668,161.20712498996429,157.47433865976714,157.66098022460938,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-24 00:00:00,157.16981719045563,160.12656898035362,156.0303324184932,158.0342559814453,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-25 00:00:00,156.23662443035923,159.8318875966519,156.1875058647009,159.57647705078125,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-28 00:00:00,161.9929849423029,163.76114855144908,160.99102306563955,161.38394165039062,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-29 00:00:00,161.8358144150101,162.53326215266608,159.5470268950271,161.40359497070312,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-30 00:00:00,161.17766913599525,167.78862118715895,160.76510011383195,166.41339111328125,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-01 00:00:00,166.35443559326333,166.86522671086865,163.13245551643357,164.41928100585938,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
